customer_id,company_size,industry,region,customer_type,total_months_active,is_churned,latest_plan_type,avg_monthly_revenue,avg_session_duration,total_platform_uses,avg_engagement_count,engagement_rate,latest_satisfaction_score,latest_nps_score,session_duration_decay_ratio,revenue_trend_ratio,engagement_trend_ratio,outreach_volume_trend_ratio
CUST_00001,171,Finance,Europe,Mid-market,20,0,Basic,49.0,36.285714285714285,83,0.38095238095238093,0.19047619047619047,7.0,23.0,0.717,1.0,0.0,0.0
CUST_00002,24,Finance,Europe,SMB,8,0,Basic,29.0,17.333333333333332,17,0.0,0.0,7.0,23.0,0.981,1.0,0.0,0.0
CUST_00003,2,Education,Latin America,SMB,19,0,Enterprise,299.0,27.35,35,0.05,0.0,7.0,30.0,0.512,1.0,0.0,0.0
CUST_00004,3404,Technology,Europe,Enterprise,17,0,Enterprise,999.0,72.27777777777777,113,0.9444444444444444,0.4259259259259259,7.0,23.0,0.588,1.0,1.174,2.118
CUST_00005,15,Education,Latin America,SMB,2,1,Basic,29.0,15.666666666666666,3,0.0,0.0,7.0,23.0,1.149,1.0,0.0,0.0
CUST_00006,3,Education,Europe,SMB,6,1,Basic,29.0,22.714285714285715,8,0.2857142857142857,0.07142857142857142,7.0,23.0,0.33,1.0,0.0,0.0
CUST_00007,365,Technology,Latin America,Mid-market,6,1,Basic,49.0,32.857142857142854,17,0.5714285714285714,0.2857142857142857,7.0,23.0,0.578,1.0,1.75,2.625
CUST_00008,141,Finance,North America,Mid-market,23,0,Basic,49.0,44.5,83,0.4166666666666667,0.125,9.0,33.0,0.427,1.0,0.0,0.0
CUST_00009,469,Healthcare,Latin America,Mid-market,11,1,Pro,199.0,36.8125,61,0.1875,0.09375,8.0,34.0,0.516,1.0,0.0,0.0
CUST_00010,309,E-commerce,North America,Mid-market,5,0,Basic,49.0,28.5,19,0.3333333333333333,0.16666666666666666,7.0,23.0,0.965,1.0,0.0,0.0
CUST_00011,1495,Technology,North America,Enterprise,8,0,Enterprise,999.0,55.666666666666664,56,0.2222222222222222,0.1111111111111111,7.0,23.0,0.512,1.0,0.0,0.0
CUST_00012,239,E-commerce,North America,Mid-market,15,0,Basic,49.0,43.375,46,0.25,0.1875,7.0,34.0,0.692,1.0,5.333,4.0
CUST_00013,266,Finance,Europe,Mid-market,14,0,Pro,199.0,36.6,52,0.13333333333333333,0.13333333333333333,7.0,23.0,0.847,1.0,0.0,0.0
CUST_00014,7,Finance,North America,SMB,4,1,Basic,29.0,21.8,6,0.4,0.0,7.0,28.0,0.573,1.0,0.0,0.0
CUST_00015,441,Healthcare,North America,Mid-market,6,0,Basic,49.0,34.142857142857146,11,0.2857142857142857,0.0,7.0,23.0,0.732,1.0,0.0,1.75
CUST_00016,90,Technology,North America,Mid-market,1,0,Pro,199.0,24.0,2,1.5,0.75,7.0,23.0,1.0,1.0,1.0,1.0
CUST_00017,2954,Technology,North America,Enterprise,23,0,Enterprise,999.0,82.04166666666667,153,0.375,0.125,7.0,3.0,0.488,1.0,0.0,0.0
CUST_00018,1,E-commerce,Latin America,SMB,5,0,Pro,99.0,17.0,8,0.16666666666666666,0.0,7.0,23.0,0.912,1.0,0.0,0.0
CUST_00019,4993,Finance,Europe,Enterprise,3,0,Enterprise,999.0,56.5,10,0.5,0.5,7.0,23.0,0.566,1.0,0.0,0.0
CUST_00020,112,Education,North America,Mid-market,11,0,Basic,49.0,36.416666666666664,29,0.3333333333333333,0.25,7.0,23.0,0.384,1.0,0.0,0.0
CUST_00021,39,E-commerce,North America,SMB,16,0,Basic,29.0,28.11764705882353,35,0.29411764705882354,0.08823529411764706,8.0,23.0,0.818,1.0,0.0,0.0
CUST_00022,333,Healthcare,Asia-Pacific,Mid-market,2,0,Basic,49.0,15.0,2,0.0,0.0,7.0,23.0,1.033,1.0,0.0,0.0
CUST_00023,77,Finance,Latin America,Mid-market,1,1,Basic,49.0,31.5,3,0.0,0.0,7.0,23.0,1.0,1.0,0.0,0.0
CUST_00024,28,Healthcare,North America,SMB,3,0,Pro,99.0,21.5,5,0.25,0.0,7.0,23.0,0.558,1.0,0.0,2.0
